#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
RULE_GROUP_EMF;EMF;;;;;;;;;;;;;x
#######################################################
###########       DEFAULT RULE OPTIONS      ###########
#######################################################
RULE_AZTEC_13TH_DEFAULT;13th Century;XIIIe siècle;13. Jahrhundert;;Siglo XIII;;;;;;;;;x
RULE_EPIDEMICS_DYNAMIC_DEFAULT;Dynamic;Dynamiques;Dynamisch;;Dinámico;;;;;;;;;x
RULE_PAGAN_REFORMATION_ALLOWED_DEFAULT;Allowed;Activée;Erlaubt;;Permitida;;;;;;;;;x
RULE_OPTION_ALL_DEFAULT;All;Tout;Alle;;Todo;;;;;;;;;x
RULE_OPTION_EDU_FOCUSES_CR_DEFAULT;Close Relatives;Parents proches;Nahe Verwandte;;Parientes cercanos;;;;;;;;;x
RULE_OPTION_FREE_DEFAULT;Free;Libre;Frei;;Libre;;;;;;;;;x
RULE_OPTION_HIDDEN_DEFAULT;Hidden;;;;Oculto;;;;;;;;;x
RULE_OPTION_HISTORICAL_DEFAULT;Historical;Historique;Historisch;;Histórico;;;;;;;;;x
RULE_OPTION_KINGDOMS_AND_EMPIRES_DEFAULT;Kingdoms and Empires;;;;Reinos e Imperios;;;;;;;;;x
RULE_OPTION_NORMAL_DEFAULT;Normal;;;;;;;;;;;;;x
RULE_OPTION_OFF_DEFAULT;Off;Règle désactivée;Aus;;Desactivado;;;;;;;;;x
RULE_OPTION_ON_DEFAULT;On;Règle activée;An;;Activado;;;;;;;;;x
RULE_OPTION_RESTRICTED_DEFAULT;Restricted;Restreinte;Beschränkt;;Reservado;;;;;;;;;x
RULE_OPTION_NOMAD_STABILITY_UNSTABLE_DEFAULT;Unstable;Instable;Instabil;;Inestable;;;;;;;;;x
RULE_OPTION_WITHIN_RANGE_DEFAULT;Within Range;À portée;In Reichweite;;Dentro del alcance;;;;;;;;;x
RULE_OPTION_SLOWEST_DEFAULT;Slowest;;;;Más lento;;;;;;;;;x
RULE_OPTION_ALLOWED_DEFAULT;Allowed;Activée;Erlaubt;;Permitida;;;;;;;;;x
RULE_OPTION_PLAYERS_DEFAULT;Players Only;Joueurs uniquement;Nur Spieler;;Solo jugadores;;;;;;;;;x
#######################################################
###########           RULE OPTIONS          ###########
#######################################################
RULE_OPTION_AGGRESSIVE;Aggressive;;;;Agresivo;;;;;;;;;x
RULE_OPTION_AI_ALLOWED;AI Allowed;;;;IA Permitida;;;;;;;;;x
RULE_OPTION_ALL;All;Tout;Alle;;Todo;;;;;;;;;x
RULE_OPTION_COUNCIL;Council;;;;Consejo;;;;;;;;;x
RULE_OPTION_EMPIRES;Only Empires;;;;Solo Imperios;;;;;;;;;x
RULE_OPTION_FULL;Full;;;;Máximo;;;;;;;;;x
RULE_OPTION_NONE;None;Aucun;Keine;;Ninguno;;;;;;;;;x
RULE_OPTION_PASSIVE;Passive;;;;Pasivo;;;;;;;;;x
RULE_OPTION_SLOW;Slow;;;;Lento;;;;;;;;;x
RULE_OPTION_MEDIUM;Medium;;;;Medio;;;;;;;;;x
RULE_OPTION_FAST;Fast;;;;Rápido;;;;;;;;;x
RULE_OPTION_FASTEST;Fastest;;;;Más rápido;;;;;;;;;x
RULE_OPTION_VISIBLE;Visible;;;;;;;;;;;;;x
RULE_OPTION_PLAYERS;Players Only;Joueurs uniquement;Nur Spieler;;Solo jugadores;;;;;;;;;x
RULE_OPTION_DISALLOWED;Disallowed;Désactivée;Nicht erlaubt;;Desactivada;;;;;;;;;x
#######################################################
###########            GAME RULES           ###########
#######################################################
#### AHISTORICAL DE JURE EMPIRES ####
#
