#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#### DECISIONS ####
emf_ir_show_tier_1;Imperial Reconquest - Tier 1;;;;Reconquista Imperial – Nivel 1;;;;;;;;;x
emf_ir_show_tier_2;Imperial Reconquest - Tier 2;;;;Reconquista Imperial – Nivel 2;;;;;;;;;x
emf_ir_show_tier_3;Imperial Reconquest - Tier 3;;;;Reconquista Imperial – Nivel 3;;;;;;;;;x
emf_ir_show_tier_4;Imperial Reconquest - Tier 4;;;;Reconquista Imperial – Nivel 4;;;;;;;;;x
emf_ir_show_tier_5;Imperial Reconquest - Tier 5;;;;Reconquista Imperial – Nivel 5;;;;;;;;;x
emf_ir_show_tier_6;Imperial Reconquest - Tier 6;;;;Reconquista Imperial – Nivel 6;;;;;;;;;x
emf_ir_show_tier_1_desc;You are on the 1st tier of Imperial Reconquest, which grants CB on the core Byzantine lands.;;;;;;;;;;;;;x
emf_ir_show_tier_2_desc;You are on the 2nd tier of Imperial Reconquest, which grants CB against the Balkans and Sicily.;;;;;;;;;;;;;x
emf_ir_show_tier_3_desc;You are on the 3rd tier of Imperial Reconquest, which grants CB against the Levant, most of Italy (though not Lombardia), and Africa (but not Western or sub-saharan Africa).;;;;;;;;;;;;;x
emf_ir_show_tier_4_desc;You are on the 4th tier of Imperial Reconquest, which grants CB against the rest of Italy (Lombardia), Northwest Africa, and Iberia.;;;;;;;;;;;;;x
emf_ir_show_tier_5_desc;You are on the 5th tier of Imperial Reconquest, which grants CB against Gallia / France.;;;;;;;;;;;;;x
emf_ir_show_tier_6_desc;You are on the 6th tier of Imperial Reconquest-- the final Roman frontier, which grants CB against England, Wales, parts of Germania, and parts of Pannonia.;;;;;;;;;;;;;x
#### REGIONS ####
emf_region_ir_tier_1;Imperial Reconquest Tier 1 (Byzantium);;;;;;;;;;;;;x
emf_region_ir_tier_2;Imperial Reconquest Tier 2 (Balkans and Sicily);;;;;;;;;;;;;x
emf_region_ir_tier_3;Imperial Reconquest Tier 3 (Italia, Levant, and Northeastern Africa);;;;;;;;;;;;;x
emf_region_ir_tier_4;Imperial Reconquest Tier 4 (Lombardia, Northwestern Africa, and Iberia);;;;;;;;;;;;;x
emf_region_ir_tier_5;Imperial Reconquest Tier 5 (France);;;;;;;;;;;;;x
emf_region_ir_tier_6;Imperial Reconquest Tier 6 (England, Wales, and Germany);;;;;;;;;;;;;x
#### TOOLTIPS ####
TT_IR_CONTROL_TIER_1;§MTier 1 (Byzantium):§! Region is controlled\n;;;;;;;;;;;;;x
TT_IR_CONTROL_TIER_2;§MTier 2 (Balkans and Sicily):§! Region is controlled\n;;;;;;;;;;;;;x
TT_IR_CONTROL_TIER_3;§MTier 3 (Italia, Levant, and Northeastern Africa):§! Region is controlled\n;;;;;;;;;;;;;x
TT_IR_CONTROL_TIER_4;§MTier 4 (Lombardia, Northwestern Africa, and Iberia):§! Region is controlled\n;;;;;;;;;;;;;x
TT_IR_CONTROL_TIER_5;§MTier 5 (France):§! Region is controlled\n;;;;;;;;;;;;;x
TT_IR_CONTROL_TIER_6;§MTier 6 (England, Wales, and Germany):§! Region is controlled\n;;;;;;;;;;;;;x
TT_IR_DONT_CONTROL_TIER_1;§MTier 1 (Byzantium):§! Region is NOT controlled\n;;;;;;;;;;;;;x
TT_IR_DONT_CONTROL_TIER_2;§MTier 2 (Balkans and Sicily):§! Region is NOT controlled\n;;;;;;;;;;;;;x
TT_IR_DONT_CONTROL_TIER_3;§MTier 3 (Italia, Levant, and Northeastern Africa):§! Region is NOT controlled\n;;;;;;;;;;;;;x
TT_IR_DONT_CONTROL_TIER_4;§MTier 4 (Lombardia, Northwestern Africa, and Iberia):§! Region is NOT controlled\n;;;;;;;;;;;;;x
TT_IR_DONT_CONTROL_TIER_5;§MTier 5 (France):§! Region is NOT controlled\n;;;;;;;;;;;;;x
TT_IR_DONT_CONTROL_TIER_6;§MTier 6 (England, Wales, and Germany):§! Region is NOT controlled\n;;;;;;;;;;;;;x
TT_IR_COUNTY_IS_UNCONTROLLED;§Y[This.GetBaseName]§! is uncontrolled.\n;;;;;;;;;;;;;x
