#CODE;ENGLISH;;;;SPANISH;;;;;;;;;x
#
# ADVENTURER MAIN
#
emf_region_baltic_seazone;Baltic Sea Zone;;;;Área del Mar Báltico;;;;;;;;;x
emf_region_north_seazone;North Sea Zone;;;;Área del Mar del Norte;;;;;;;;;x
emf_region_atlantic_seazone;Atlantic Ocean Zone;;;;Área del Océano Atlántico;;;;;;;;;x
emf_region_west_med_seazone;Western Mediterranean Zone;;;;Área del Mediterráneo Occidental;;;;;;;;;x
emf_region_east_med_seazone;Eastern Mediterranean Zone;;;;Área del Mediterráneo Oriental;;;;;;;;;x
emf_region_black_seazone;Black Sea Zone;;;;Área del Mar Negro;;;;;;;;;x
emf_region_arctic_seazone;Arctic Zone;;;;Área del Ártico;;;;;;;;;x
emf_region_indian_seazone;Indian Ocean Zone;;;;Área del Océano Índico;;;;;;;;;x
custom_balkans;Balkans;;;;Balcanes;;;;;;;;;x
custom_lebanon;Lebanon;;;;Líbano;;;;;;;;;x
custom_gothic;Götaland;;;;;;;;;;;;;x
custom_icelandic;Iceland;;;;Islandia;;;;;;;;;x
LADY;Lady;;;;Señora;;;;;;;;;x
LADY_FOA;My Lady;Madame;Meine Fürstin;;Mi Señora;;;;;;;;;x
LORD;Lord;Seigneur;;;;Señor;;;;;;;;x
LORD_FOA;My Lord;Monseigneur;Mein Fürst;;Mi Señor;;;;;;;;;x
nick_rollo;Rollo;;;;;;;;;;;;;x
#
# ADVENTURER MODIFIERS
#
backed_adventurer;Aided My Cause;;;;Ha ayudado a mi causa;;;;;;;;;x
betrayed_adventurer;Betrayed Me;;;;Me ha traicionado;;;;;;;;;x
emf_adventurer_recruited;Heavily Recruited;;;;Reclutado a la fuerza;;;;;;;;;x
force_vassalized;Oath of Fealty;;;;Juramento de lealtad;;;;;;;;;x
let_adventurer_stay;Allowed Me To Recruit;;;;Me ha permitido reclutar;;;;;;;;;x
refused_adventurer;Refused To Aid Me;;;;Se niega a ayudarme;;;;;;;;;x
supported_adventurer_against_me;Aided Adventurer Against Me;;;;Ha apoyado un aventurero contra mí;;;;;;;;;x
turned_adventurer_away;Turned Me Away;;;;Me ha rechazado;;;;;;;;;x
#
# ADVENTURER TOOLTIPS
#
ADVENTURER_ESCAPES;§Y[From.GetTitledFirstName]§! is not captured and flees your lands\n;;;;§Y[From.GetTitledFirstName]§! no ha sido capturado y escapa de tus dominios\n;;;;;;;;;x
ADVENTURER_MUST_MOVE_ON;§Y[From.GetTitledFirstName]§! must leave your lands as soon as possible\n;;;;§Y[From.GetTitledFirstName]§! debe abandonar tus tierras lo antes posible\n;;;;;;;;;x
ADVENTURER_RECRUITS_FROM_MY_LANDS;§Y[From.GetTitledFirstName]§! may seek support and recruit in your lands\n;;;;§Y[From.GetTitledFirstName]§! puede buscar apoyo y reclutar en tus tierras\n;;;;;;;;;x
ADVENTURER_STAYS_IN_PRISON;§Y[FromFromFrom.GetTitledFirstName]§! stays in prison\n;;;;§Y[From.GetTitledFirstName]§! se queda en prisión\n;;;;;;;;;x
DEFENDER_KNEELS;§Y[This.GetBestName]§! will convert to the [Root.Religion.GetName] faith and become your loyal vassal;;;;§Y[This.GetBestName]§! se convertirá a la religión [Root.Religion.GetName] y se volverá un vasallo leal;;;;;;;;;x
OFFER_ADVENTURER_FOR_RANSOM;Send an immediate offer of ransom;;;;Enviar inmediatamente una oferta de rescate;;;;;;;;;x
OFFER_TO_KNEEL;Offer to become [This.GetTitledFirstName]'s vassal and accept [This.GetHerHis] faith;;;;Ofrecerle jurar vasallaje a [This.GetTitledFirstName] y aceptar su fe;;;;;;;;;x
#
# ADVENTURER DECISIONS/EVENTS
#
convert_to_icelandic;Embrace Icelandic Culture;;;;Abrazar la cultura islandesa;;;;;;;;;x
convert_to_icelandic_desc;A new Icelandic culture has begun to form on our island, born from the Norse of old. Perhaps the time has come to embrace it fully.;;;;Se está formando una nueva cultura islandesa en nuestra isla, nacida de la vieja cultura nórdica. Quizá sea hora de adoptarla plenamente.;;;;;;;;;x
convert_to_gothic;Embrace Gothic Culture;;;;Abrazar la cultura gauta;;;;;;;;;x
convert_to_gothic_desc;A new Gothic culture has begun to form, born from the Norse of old. Perhaps the time has come to embrace it fully.;;;;Se está formando una nueva cultura gauta, nacida de la vieja cultura nórdica. Quizá sea hora de adoptarla plenamente.;;;;;;;;;x
EVTDESC_emf_adventurer_101;Word has reached me that [From.GetTitledFirstName] has begun a campaign to take the [target_adventurer_title.GetFullName], a title [From.GetSheHe] claims rightfully belongs to [From.GetHerHim], through force of arms. [From.GetSheHeCap] has begun touring the lands, trying to raise coin to hire mercenaries and drum up support for [From.GetHerHis] cause. Whether [From.GetSheHe] can succeed remains to be seen...;;;;Me llegan rumores de que [From.GetTitledFirstName] ha empezado una campaña para tomar [target_adventurer_title.GetFullName], un título que [From.GetElElla] cree que le pertenece, por la fuerza de las armas. [From.GetElEllaCap] ha empezado a recorrer las tierras, intentando conseguir oro para contratar mercenarios y apoyo para su causa. Si [From.GetElElla] tendrá éxito o no está por ver...;;;;;;;;;x
EVTOPTA_emf_adventurer_101;Oh dear, I hope [From.GetSheHe] is not prone to... accidents.;Oh là là, j'espère que [From.GetSheHe] n'est pas sujet(te) aux... accidents.;Oh weh, ich hoffe, [From.GetSheHe] ist nicht anfällig für… Unfälle.;;¡Dios mío, espero que [From.GetElElla] no sea propenso a los... accidentes.;;;;;;;;;x
