#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#Demesne Laws;;;;;;;;;;;;;;x
the_crusade_target;The Crusade Target;;;;El objetivo de la cruzada;;;;;;;;;x
the_crusade_target_option;The Crusade Target;;;;El objetivo de la cruzada;;;;;;;;;x
the_crusade_target_desc;This law is used to keep track of the crusade target. You probably shouldn't be seeing this.;;;;Esta ley se usa para hacer un seguimiento del objetivo de una cruzada. No deberías ver esto.;;;;;;;;;x
themes;Theme System;;;;Sistema de Temas;;;;;;;;;x
themes_desc;Historically, the Byzantine Empire was an extremely centralized realm but had such a rigid military system that it was considerably weaker than its size would imply. The theme system was at the core of this. It was no longer well enforced, and so the emperor's power was lacking. It is possible to reform the theme system, but so doing won't be easy, and it won't make your vassals happy. A reborn Roman Empire will rid you of the issue once and for all.;;;;Históricamente, el Imperio Bizantino era extremadamente centralizado, pero su sistema militar basado en las “Temas” aunque en principio producía numerosas levas a cambio de un menor control, ha sido descuidado y ahora no es tan útil como antaño. Es posible reformar el sistema, pero será difícil y disgustará a los vasallos. Resucitar la antigua Roma te evitaría el problema.;;;;;;;;;x
themes_0;Decayed Theme System;;;;Sistema de Temas decadente;;;;;;;;;x
themes_0_option;Decayed;;;;Decadente;;;;;;;;;x
themes_0_desc;The theme system has decayed from its original utility.;;;;El sistema de Temas ha decaído y ya no es tan útil.;;;;;;;;;x
themes_1;Intact Theme System;;;;Sistema de Temas intacto;;;;;;;;;x
themes_1_option;Intact;;;;Intacto;;;;;;;;;x
themes_1_desc;The theme system is intact.;;;;El sistema de Temas permanece intacto.;;;;;;;;;x
themes_2;Reformed Theme System;;;;Sistema de Temas reformado;;;;;;;;;x
themes_2_option;Reformed;;;;Reformado;;;;;;;;;x
themes_2_desc;The theme system has been completely reformed.;;;;El sistema de Temas ha sido completamente reformado.;;;;;;;;;x
