#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#######################################
####  CASUS BELLI                     #
EMF_REVOLT_CB_NAME_RELIGIOUS;[Actor.Religion.GetName] Uprising;Révolte [Actor.Religion.GetName];[Actor.Religion.GetName] Aufstand;;Alzamiento de [Actor.Religion.GetName];;;;;;;;;x
EMF_REVOLT_WAR_NAME_RELIGIOUS;$ORDER$$SECOND_ADJ$ [Actor.Religion.GetName] Revolt of the $CLAIMS$;;;;;;;;;;;;;x
#######################################
####  CUSTOMIZABLE LOCALISATION       #
#######################################
EMF_String_RevoltProvinceNameList_x1;has risen in [emf_revolt_origin.GetName];;;;;;;;;;;;;x
EMF_String_RevoltProvinceNameList_x2;has been organized in [emf_revolt_origin.GetName] with military coordination from the many peasants aligned with their cause in nearby [emf_revolt_prov2.GetName];;;;;;;;;;;;;x
EMF_String_RevoltProvinceNameList_x3;has been organized in [emf_revolt_origin.GetName] with military coordination from the many peasants aligned with their cause in nearby [emf_revolt_prov2.GetName] and [emf_revolt_prov3.GetName];;;;;;;;;;;;;x
EMF_String_RevoltProvinceNameList_x4;has been organized in [emf_revolt_origin.GetName] with military coordination from the many peasants aligned with their cause in the nearby provinces of [emf_revolt_prov2.GetName], [emf_revolt_prov3.GetName], and [emf_revolt_prov4.GetName];;;;;;;;;;;;;x
EMF_String_RevoltProvinceNameList_x5;has been organized in [emf_revolt_origin.GetName] with military coordination from the many peasants aligned with their cause in the nearby provinces of [emf_revolt_prov2.GetName], [emf_revolt_prov3.GetName], [emf_revolt_prov4.GetName], and [emf_revolt_prov5.GetName];;;;;;;;;;;;;x
EMF_String_RevoltProvinceNameList_x6plus;has been organized in [emf_revolt_origin.GetName] with military coordination from the many peasants aligned with their cause in the nearby provinces of [emf_revolt_prov2.GetName], [emf_revolt_prov3.GetName], [emf_revolt_prov4.GetName], [emf_revolt_prov5.GetName], and more;;;;;;;;;;;;;x
EMF_String_RevoltProvinceNameShortList_x1;[emf_revolt_prov1.GetName];;;;;;;;;;;;;x
EMF_String_RevoltProvinceNameShortList_x2;[emf_revolt_prov1.GetName] and [emf_revolt_prov2.GetName];;;;;;;;;;;;;x
EMF_String_RevoltProvinceNameShortList_x3;[emf_revolt_prov1.GetName], [emf_revolt_prov2.GetName], and [emf_revolt_prov3.GetName];;;;;;;;;;;;;x
EMF_String_RevoltProvinceNameShortList_x4;[emf_revolt_prov1.GetName], [emf_revolt_prov2.GetName], [emf_revolt_prov3.GetName], and [emf_revolt_prov4.GetName];;;;;;;;;;;;;x
EMF_String_RevoltProvinceNameShortList_x5;[emf_revolt_prov1.GetName], [emf_revolt_prov2.GetName], [emf_revolt_prov3.GetName], [emf_revolt_prov4.GetName], and [emf_revolt_prov5.GetName];;;;;;;;;;;;;x
EMF_String_RevoltProvinceNameShortList_x6;[emf_revolt_prov1.GetName], [emf_revolt_prov2.GetName], [emf_revolt_prov3.GetName], [emf_revolt_prov4.GetName], [emf_revolt_prov5.GetName], and [emf_revolt_prov6.GetName];;;;;;;;;;;;;x
EMF_String_RevoltProvinceNameShortList_x7;[emf_revolt_prov1.GetName], [emf_revolt_prov2.GetName], [emf_revolt_prov3.GetName], [emf_revolt_prov4.GetName], [emf_revolt_prov5.GetName], [emf_revolt_prov6.GetName], and [emf_revolt_prov7.GetName];;;;;;;;;;;;;x
EMF_String_RevoltProvinceNameShortList_x8;[emf_revolt_prov1.GetName], [emf_revolt_prov2.GetName], [emf_revolt_prov3.GetName], [emf_revolt_prov4.GetName], [emf_revolt_prov5.GetName], [emf_revolt_prov6.GetName], [emf_revolt_prov7.GetName], and [emf_revolt_prov8.GetName];;;;;;;;;;;;;x
EMF_String_RevoltProvinceNameShortList_x9;[emf_revolt_prov1.GetName], [emf_revolt_prov2.GetName], [emf_revolt_prov3.GetName], [emf_revolt_prov4.GetName], [emf_revolt_prov5.GetName], [emf_revolt_prov6.GetName], [emf_revolt_prov7.GetName], [emf_revolt_prov8.GetName], and [emf_revolt_prov9.GetName];;;;;;;;;;;;;x
EMF_String_RevoltProvinceNameShortList_x10plus;[emf_revolt_prov1.GetName], [emf_revolt_prov2.GetName], [emf_revolt_prov3.GetName], [emf_revolt_prov4.GetName], [emf_revolt_prov5.GetName], [emf_revolt_prov6.GetName], [emf_revolt_prov7.GetName], [emf_revolt_prov8.GetName], [emf_revolt_prov9.GetName], and more;;;;;;;;;;;;;x
EMF_String_decadence_revolt;decadence revolt;;;;;;;;;;;;;x
EMF_String_heretic_uprising;heretic uprising;;;;;;;;;;;;;x
EMF_String_liberation_revolt;liberation revolt;;;;;;;;;;;;;x
EMF_String_peasant_rebellion;peasant rebellion;;;;;;;;;;;;;x
EMF_String_religious_uprising;religious uprising;;;;;;;;;;;;;x
#######################################
####  MODIFIERS                       #
#######################################
emf_revolt_religious_new_realm_modifier;New Rebel Realm;;;;;;;;;;;;;x
emf_revolt_religious_new_realm_modifier_desc;The formerly lowborn leader of a recently successful [This.EMF_GetPastRevoltType], [This.GetFirstName], has carved out [This.GetPossPronoun] own new realm, the §Y[This.PrimaryTitle.GetFullName]§!, while [This.GetSubjectPronoun] now styles [This.GetHerselfHimself] §Y[This.GetTitledFirstName] [This.GetOnlyDynastyName]§!.\n\nThrough sheer demonstrated force during the rebellion as well as the enthusiasm of [This.GetPossPronoun] now even more numerous followers, the [This.PrimaryTitle.GetFullName] is currently enjoying a period of uncommon strength for its size, but its continued existence still seems unknown to all. Indeed, these bonuses do not even cancel the negative effects of settlement occupation and conquest. From pitchforks and makeshift helmets to finely-forged swords and jeweled crowns, can the new realm survive -- or even thrive?;;;;;;;;;;;;;x
#######################################
####  EVENTS                          #
#######################################
emf_revolt.4.desc.directly_due_to_relsub;A [From.Religion.GetName] uprising [Root.EMF_GetRevoltProvinceNameList], led by a militant [From.Religion.GetPriestTitle]. If not swiftly crushed, this revolt could spread like wildfire! This is undoubtedly due to a recent holy war.;;;;;;;;;;;;;x
emf_revolt.4.desc.normal;A [From.Religion.GetName] uprising [Root.EMF_GetRevoltProvinceNameList], led by a militant [From.Religion.GetPriestTitle]. If not swiftly crushed, this revolt could spread like wildfire!;;;;;;;;;;;;;x
emf_revolt.10.desc;A [From.Religion.GetName] rebellion has risen in my realm provinces of [Root.EMF_GetRevoltProvinceNameShortList], led by a militant [From.Religion.GetPriestTitle]. If not swiftly crushed by [Root.TopLiege.GetTitledFirstName], this revolt could spread like wildfire!;;;;;;;;;;;;;x
emf_revolt.11.desc;Another raving mob of [FromFrom.Religion.GetName] infidels have risen up in [FromFrom.GetName], reinforcing the ongoing uprising!;De nouveaux infidèles [FromFrom.GetReligionMascPl] se sont soulevés à [FromFrom.GetName] et renforcent la révolte actuelle !;Ein weiterer wütender Mob von [FromFrom.Religion.GetName] Ungläubigen hat sich in [FromFrom.GetName] dem Aufstand angeschlossen;;¡Una nueva muchedumbre enloquecida de infieles del [FromFrom.Religion.GetName] se ha levantado en [FromFrom.GetName] para reforzar la insurrección en curso!;;;;;;;;;x
emf_revolt.12.desc;To the [GetFromRootInsult] [Root.GetTitledFirstName],\n\nI've decided to assist my coreligionist [FromFrom.GetTitledName] in his rebellion against your religious tyranny. May you be thwarted at every turn until the [From.Religion.GetName] people in your realm are free.\n\nSigned,\n[From.GetTitledName];;;;;;;;;;;;;x
#######################################
####  OPINION MODIFIERS               #
#######################################
emf_revolt_opinion_accepted_our_call_to_arms;Accepted Our Call to Arms During Rebellion;;;;;;;;;;;;;x
emf_revolt_opinion_accepted_their_call_to_arms;Accepted Call To Arms During Their Rebellion;;;;;;;;;;;;;x
emf_revolt_opinion_declined_call_to_arms;Declined Call to Arms During Rebellion;;;;;;;;;;;;;x
emf_revolt_opinion_respects_rebel_ruler;Loyal Vassal of Rebel Leader;;;;;;;;;;;;;x
emf_revolt_source_province_liege;A Liege of Rebel Province (Temporary TOM);;;;;;;;;;;;;x
#######################################
####  TEXT                            #
#######################################
REVOLT_RELIGIOUS_VICTORY_TITLE;[FromFrom.Religion.GetName] [This.Duchy.GetBaseName];;;;;;;;;;;;;x
REVOLT_RELIGIOUS_VICTORY_TITLE_RENAMED;[Root.Religion.GetName] [Root.Capital.Duchy.GetBaseName];;;;;;;;;;;;;x
REVOLT_RELIGIOUS_TITLE;[Root.Religion.GetName] Uprising;Révolte [Root.Religion.GetName];[Root.Religion.GetName] Aufstand;;Alzamiento [Root.Religion.GetName];;;;;;;;;x
REVOLT_RELIGIOUS_TITLE_ADJ;[Root.Religion.GetName];;;;;;;;;;;;;x
REVOLT_RELIGIOUS_TITLE_RULER;Rebel;;;;;;;;;;;;;x
#######################################
####  TOOLTIPS                        #
#######################################
#######################################
####  TRAITS                          #
#######################################
peasant_ruler;Peasant Ruler;;;;;;;;;;;;;x
peasant_ruler_desc;Once a mere peasant, this ruler overthrew the nobility which oppressed them -- only to be rewarded with nobility themselves. This is a testament to their unique skills and bold personality.;;;;;;;;;;;;;x
