#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#
### The Followers of Ahuiateteo (Aztec Devil Worshipers)
#
String_Macuiltochtli;Macuiltochtli;Macuiltochtli;Macuiltochtli;;Macuiltochtli;;;;;;;;;x
String_tzitzimitl;tzitzimitl;tzitzimitl;tzitzimitl;;tzitzimitl;;;;;;;;;x
String_tzitzimime;tzitzimime;tzitzimime;tzitzimime;;tzitzimime;;;;;;;;;x
String_nahual;nahual;nahual;nahual;;nahual;;;;;;;;;x
String_nahuals;nahuals;nahuals;nahualen;;nahuals;;;;;;;;;x
String_Praise_to_the_Ahuiateteo;Praise to the Ahuiateteo!;Que Ahuiateteo soient louées!;Ehret die Ahuiateteo!;;¡Alabado sea las Ahuiateteo!;;;;;;;;x
String_Macuilcozcacuauhtli;Macuilcozcacuauhtli;Macuilcozcacuauhtli;Macuilcozcacuauhtli;;Macuilcozcacuauhtli;;;;;;;;;x
String_Macuilcuetzpalin;Macuilcuetzpalin;Macuilcuetzpalin;Macuilcuetzpalin;;Macuilcuetzpalin;;;;;;;;;x
String_Macuilmalinalli;Macuilmalinalli;Macuilmalinalli;Macuilmalinalli;;Macuilmalinalli;;;;;;;;;x
String_Macuiltochtli;Macuiltochtli;Macuiltochtli;Macuiltochtli;;Macuiltochtli;;;;;;;;;x
String_Macuilxochitl;Macuilxochitl;Macuilxochitl;Macuilxochitl;;Macuilxochitl;;;;;;;;;x
followers_of_ahuiateteo;[GetFollowersAhuiateteoSocietyName];[GetFollowersAhuiateteoSocietyName];[GetFollowersAhuiateteoSocietyName];;[GetFollowersAhuiateteoSocietyName];;;;;;;;;x
followers_of_ahuiateteo_real;The Followers of Ahuiateteo;Les Adeptes des Ahuiateteo;Die Anhänger von Ahuiateteo;;Los Seguidores de las Ahuiateteo;;;;;;;;;x
followers_of_ahuiateteo_random;The Followers of [aztec.GetRandomEvilGodNameCap];Les Adeptes du [aztec.GetRandomEvilGodNameCap];Die Anhänger von [aztec.GetRandomEvilGodNameCap];;Los Seguidores de [aztec.GetRandomEvilGodNameCap];;;;;;;;;x
followers_of_ahuiateteo_desc;[GetFollowersAhuiateteoSocietyDesc];[GetFollowersAhuiateteoSocietyDesc];[GetFollowersAhuiateteoSocietyDesc];;[GetFollowersAhuiateteoSocietyDesc];;;;;;;;;x
followers_of_ahuiateteo_desc_real;The Followers of Ahuiateteo are a secret society devoted to the study of dark sorcery and the veneration of the Ahuiateteo, the five gods of excess and pleasure. They are frowned upon by traditional believers, who disapprove of their debauchery and obscene rituals.;Les Adeptes des Ahuiateteo est une société secrète consacrée à l'étude de la sorcellerie et la vénération des Ahuiateteo, les cinq dieux de l'excès et du plaisir. Ils sont désapprouvés par les croyants traditionnels, qui désapprouvent leurs rituels de débauche et d'obscène.;Die Anhänger von Ahuiateteo sind ein geheimer Zirkel, der sich dem Studium der dunklen Hexerei und der Huldigung von Ahuiateteo, die fünf Götter des Überflusses und der Lust, verschrieben hat. Sie werden von anderen Gläubigen denunziert, die ihre Ausschweifungen und obszönen Rituale missbilligen.;;Los seguidores de las Ahuiateteo es una sociedad secreta dedicada al estudio de la magia oscura y a la veneración de las Ahuiateteo, los cinco dioses del exceso y el placer. Están mal vistos por los creyentes tradicionales, quienes desaprueban su libertinaje y sus rituales obscenos.;;;;;;;;;x
followers_of_ahuiateteo_recruit;[GetHelRecruit];[GetHelRecruit];[GetHelRecruit];;[GetHelRecruit];;;;;;;;;x
followers_of_ahuiateteo_recruit_real;Recruit to the Followers of Ahuiateteo;Recruter pour les Adeptes des Ahuiateteo;Für die Anhänger von Ahuiateteo rekrutieren;;Reclutar para los Seguidores de las Ahuiateteo;;;;;;;;;x
followers_of_ahuiateteo_recruit_desc;[GetFollowersAhuiateteoRecruitDesc];[GetFollowersAhuiateteoRecruitDesc];[GetFollowersAhuiateteoRecruitDesc];;[GetFollowersAhuiateteoRecruitDesc];;;;;;;;;x
