#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#zz~plus_misc.csv;;;;;;;;;;;;;;x
#zz~plus_faction.csv;;;;;;;;;;;;;;x
#zz~hip.csv;;;;;;;;;;;;;;x
imperial_emperor_female_hip_culture;Queen;;;;;;;;;;;;;x
imperial_emperor_hip_culture;Queen;;;;;;;;;;;;;x
#zz~emf_vanilla_crusades.csv;;;;;;;;;;;;;;x
#zz~emf_vanilla.csv;;;;;;;;;;;;;;x
#zz~emf_traits.csv;;;;;;;;;;;;;;x
#zz~emf_sts.csv;;;;;;;;;;;;;;x
#zz~emf_startup.csv;;;;;;;;;;;;;;x
#zz~emf_siege.csv;;;;;;;;;;;;;;x
#zz~emf_rr.csv;;;;;;;;;;;;;;x
#zz~emf_religion.csv;;;;;;;;;;;;;;x
#zz~emf_regional.csv;;;;;;;;;;;;;;x
#zz~emf_prisoner.csv;;;;;;;;;;;;;;x
#zz~emf_nwo.csv;;;;;;;;;;;;;;x
#zz~emf_nomad.csv;;;;;;;;;;;;;;x
#zz~emf_no_cooldowns.csv;;;;;;;;;;;;;;x
#zz~emf_nde.csv;;;;;;;;;;;;;;x
#zz~emf_mr.csv;;;;;;;;;;;;;;x
#zz~emf_lucky.csv;;;;;;;;;;;;;;x
#zz~emf_laws.csv;;;;;;;;;;;;;;x
#zz~emf_imperial.csv;;;;;;;;;;;;;;x
#zz~emf_holy_orders.csv;;;;;;;;;;;;;;x
#zz~emf_historical.csv;;;;;;;;;;;;;;x
#zz~emf_gender_eq.csv;;;;;;;;;;;;;;x
#zz~emf_feudalizer.csv;;;;;;;;;;;;;;x
#zz~emf_faction.csv;;;;;;;;;;;;;;x
#zz~emf_empires.csv;;;;;;;;;;;;;;x
#zz~emf_dynlevy.csv;;;;;;;;;;;;;;x
#zz~emf_debug.csv;;;;;;;;;;;;;;x
#zz~emf_cultures.csv;;;;;;;;;;;;;;x
#zz~emf_cta.csv;;;;;;;;;;;;;;x
#zz~emf_crier.csv;;;;;;;;;;;;;;x
#zz~emf_core.csv;;;;;;;;;;;;;;x
#zz~emf_cb.csv;;;;;;;;;;;;;;x
#zz~emf_buildings.csv;;;;;;;;;;;;;;x
#zz~emf_autolander.csv;;;;;;;;;;;;;;x
#zz~emf_ambitions.csv;;;;;;;;;;;;;;x
#zz~VIET_Traits.csv;;;;;;;;;;;;;;x
#zz~VIET_Bookmarks.csv;;;;;;;;;;;;;;x
#zy~PB_war_checks.csv;;;;;;;;;;;;;;x
#zy~PB_various.csv;;;;;;;;;;;;;;x
#zy~PB_tournaments.csv;;;;;;;;;;;;;;x
#zy~PB_titles.csv;;;;;;;;;;;;;;x
#zy~PB_objectives.csv;;;;;;;;;;;;;;x
#zy~PB_new_titles.csv;;;;;;;;;;;;;;x
#zy~PB_martial_prowess.csv;;;;;;;;;;;;;;x
#zy~PB_loans.csv;;;;;;;;;;;;;;x
#zy~PB_laws.csv;;;;;;;;;;;;;;x
#zy~PB_flavor.csv;;;;;;;;;;;;;;x
#zy~PB_events.csv;;;;;;;;;;;;;;x
#zy~PB_effects.csv;;;;;;;;;;;;;;x
#zy~PB_decisions.csv;;;;;;;;;;;;;;x
#zy~PB_buildings.csv;;;;;;;;;;;;;;x
#zy~PB_SWMH_retinues.csv;;;;;;;;;;;;;;x
#zy~PB_CatholicSchism.csv;;;;;;;;;;;;;;x
#zy~PB_CBs.csv;;;;;;;;;;;;;;x
#z_tobias.csv;;;;;;;;;;;;;;x
#z_proofreading_temp.csv;;;;;;;;;;;;;;x
#z_olof.csv;;;;;;;;;;;;;;x
#z_notranslate.csv;;;;;;;;;;;;;;x
#z_niklas.csv;;;;;;;;;;;;;;x
#z_mohammed.csv;;;;;;;;;;;;;;x
#z_markus.csv;;;;;;;;;;;;;;x
#z_launcher.csv;;;;;;;;;;;;;;x
#z_jimmy.csv;;;;;;;;;;;;;;x
#z_henrik_f.csv;;;;;;;;;;;;;;x
#z_henrik.csv;;;;;;;;;;;;;;x
#z_gwenael.csv;;;;;;;;;;;;;;x
#z_groogy.csv;;;;;;;;;;;;;;x
#z_emil.csv;;;;;;;;;;;;;;x
#z_david.csv;;;;;;;;;;;;;;x
#z_alex.csv;;;;;;;;;;;;;;x
#z_Joel.csv;;;;;;;;;;;;;;x
#v2_52.csv;;;;;;;;;;;;;;x
#v2_51.csv;;;;;;;;;;;;;;x
#v2_50b.csv;;;;;;;;;;;;;;x
imperial_title_councilmember_king;Advisor;Conseiller;Berater;;Consejero;;;;;;;;;x
imperial_title_councilmember_emperor;Advisor;Conseiller;Berater;;Consejero;;;;;;;;;x
imperial_duchy_norse;Jarldom;Jarldom;Jarltum;;Jarldom;;;;;;;;;x
imperial_duchy_russian;Grand Principality;Grande-Principauté;Großfürstentum;;Gran principado;;;;;;;;;x
imperial_empire_russian;Tsardom;Tsarat;Zarenreich;;Zarato;;;;;;;;;x
#v2_50_notranslate.csv;;;;;;;;;;;;;;x
#v2_50.csv;;;;;;;;;;;;;;x
#v2_42.csv;;;;;;;;;;;;;;x
#v2_41.csv;;;;;;;;;;;;;;x
#v2_40f.csv;;;;;;;;;;;;;;x
