#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
has_liege_vassal_or_neighbor_of_west_african_religion_tt;Has a §YLiege§!, §YVassal§!, or a §Yneighboring ruler§! who follows the §YWest African§! faith\n;A un §Yseigneur lige§!, un §Yvassal§! ou un §Yseigneur voisin§! qui suit la foi §Yafricaine oueste§!\n;Hat einen §YLehnsherrn§!, §YVasallen§! oder §Ybenachbarten Herrscher§!, der dem §YWestafrikanischen§! Glauben folgt\n;;Tiene un §Yseñor§!, §Yvasallo§!, o §Ygobernante vecino§! que sigue la fe §Yafricana oeste§!\n;;;;;;;;;x
has_liege_vassal_or_neighbor_of_east_african_religion_tt;Has a §YLiege§!, §YVassal§!, or a §Yneighboring ruler§! who follows the §YEast African§! faith\n;A un §Yseigneur lige§!, un §Yvassal§! ou un §Yseigneur voisin§! qui suit la foi §Yafricaine este§!\n;Hat einen §YLehnsherrn§!, §YVasallen§! oder §Ybenachbarten Herrscher§!, der dem §YOstafrikanischen§! Glauben folgt\n;;Tiene un §Yseñor§!, §Yvasallo§!, o §Ygobernante vecino§! que sigue la fe §Yafricana este§!\n;;;;;;;;;x
warrior_lodge_east_african_leader_desc;[GetSocietyLeaderDesc];[GetSocietyLeaderDesc];[GetSocietyLeaderDesc];;[GetSocietyLeaderDesc];;;;;;;;;x
warrior_lodge_east_african_rank_1_female;Fledgling;Novice;Grünschnabel;;Novata;;;;;;;;;x
warrior_lodge_east_african_rank_2_female;Warrior;Guerrière;Kriegerin;;Guerrera;;;;;;;;;x
warrior_lodge_east_african_rank_3_female;Veteran;Vétérane;Veteranin;;Veterana;;;;;;;;;x
warrior_lodge_east_african_rank_4_female;Heroine;Héroïne;Heldin;;Heroína;;;;;;;;;x
warrior_lodge_east_african_rank_1_male;Fledgling;Novice;Grünschnabel;;Novato;;;;;;;;;x
warrior_lodge_east_african_rank_2_male;Warrior;Guerrier;Krieger;;Guerrero;;;;;;;;;x
warrior_lodge_east_african_rank_3_male;Veteran;Vétéran;Veteran;;Veterano;;;;;;;;;x
warrior_lodge_east_african_rank_4_male;Hero;Héros;Held;;Héroe;;;;;;;;;x
warrior_lodge_east_african;[GetEastAfricanWarriorSocietyName];[GetEastAfricanWarriorSocietyName];[GetEastAfricanWarriorSocietyName];;[GetEastAfricanWarriorSocietyName];;;;;;;;x
warrior_lodge_east_african_desc;[GetEastAfricanWarriorSocietyDesc];[GetEastAfricanWarriorSocietyDesc];[GetEastAfricanWarriorSocietyDesc];;[GetEastAfricanWarriorSocietyDesc];;;;;;;;x
warrior_lodge_east_african_random;The Mountain Runners;Coureurs de la Montaine;Bergenläufer;;los Corredores de la montaña;;;;;;;;x
warrior_lodge_east_african_desc_random;The Mountain Runners fight and train in the name of [west_african_pagan.GetHighGodName]. When charging into battle, they wear blue and are known to carry small fetish symbols close to their heart.;Les Coureurs de la Montaine se battent et s'entraînent au nom du [west_african_pagan.GetHighGodName]. Lors des batailles, ils s'habillent en bleu et portent de petits symboles fétiches près de leur coeur.;Die Bergenläufer kämpfen und trainieren im Namen von [west_african_pagan.GetHighGodName]. Wenn sie in den Kampf ziehen, tragen sie Blau und sind bekannt dafür, dass sie kleine Fetische an ihrem Herzen tragen.;;Los Corredores de la montaña luchan y entrenan en nombre de [west_african_pagan.GetHighGodName]. Cuando se lanzan a la batalla, visten de azul y se les reconoce por llevar pequeños símbolos fetichistas cerca del corazón.;;;;;;;;x
warrior_lodge_east_african_real;The Children of the Mountain;Enfants de la Montaine;Kinder der Bergen;;Hijos de la Montaña;;;;;;;;x
