#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
dynlevy0;Levy Efficiency;;;;Eficiencia de reclutamiento;;;;;;;;;x
dynlevy0_desc;As your realm grows, your liege levy will grow with it. But by how much?;;;;A medida que tu heredad crezca, también lo hará el reclutamiento. ¿Pero cuánto?;;;;;;;;;x
dynlevy0_0;100% Realm Levy-Raising Efficiency;;;;100% de eficiencia de reclutamiento;;;;;;;;;x
dynlevy0_0_option;100%;;;;;;;;;;;;;x
dynlevy0_0_desc;In a decentralized feudal system, rulers of large realms are less efficient at raising liege levies than rulers of smaller realms. Demesne levies are unaffected.\n\nSmaller realms pack a harder punch per capita, all else being equal. For larger realms to compete per capita, they inevitably must centralize. See the EMF manual for details on levy efficiency.;;;;En un sistema feudal descentralizado, los reinos grandes son menos efectivos al reclutar levas que los reinos pequeños. Las levas de la heredad no se ven afectadas.\n\nLos reinos pequeños tienen un mayor impacto per cápita, lo demás se mantiene igual. Para que los reinos grandes compitan per cápita, deben centralizarse. Échale un vistazo al manual de EMF para saber más sobre la eficiencia de reclutamiento.;;;;;;;;;x
dynlevy1;Levy Efficiency;;;;Eficiencia de reclutamiento;;;;;;;;;x
dynlevy1_desc;As your realm grows, your liege levy will grow with it. But by how much?;;;;A medida que tu heredad crezca, también lo hará el reclutamiento. ¿Pero cuánto?;;;;;;;;;x
dynlevy1_0;97.4% Realm Levy-Raising Efficiency;;;;97.4% de eficencia de reclutamiento;;;;;;;;;x
dynlevy1_0_option;97.4%;;;;;;;;;;;;;x
dynlevy1_0_desc;In a decentralized feudal system, rulers of large realms are less efficient at raising liege levies than rulers of smaller realms. Demesne levies are unaffected.\n\nSmaller realms pack a harder punch per capita, all else being equal. For larger realms to compete per capita, they inevitably must centralize. See the EMF manual for details on levy efficiency.;;;;En un sistema feudal descentralizado, los reinos grandes son menos efectivos al reclutar levas que los reinos pequeños. Las levas de la heredad no se ven afectadas.\n\nLos reinos pequeños tienen un mayor impacto per cápita, lo demás se mantiene igual. Para que los reinos grandes compitan per cápita, deben centralizarse. Échale un vistazo al manual de EMF para saber más sobre la eficiencia de reclutamiento.;;;;;;;;;x
